category,personName,country,city,source,industries,countryOfCitizenship,organization,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,gdp_country
Manufacturing,He Xiangjian & family,China,Foshan,Home appliances,Manufacturing,China,,D,M,1942-08-11 00:00:00,He,Xiangjian,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Metals & Mining,Iris Fontbona & family,Chile,Santiago,Mining,Metals & Mining,Chile,,U,F,1943-01-01 00:00:00,Fontbona,Iris,,2023-04-04 05:01:00,,,"$282,318,159,745 "
Manufacturing,Michael Hartono,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,,U,M,1939-10-02 00:00:00,Hartono,Michael,,2023-04-04 05:01:00,,,"$1,119,190,780,753 "
Manufacturing,James Ratcliffe,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,,U,M,1953-01-01 00:00:00,Ratcliffe,James,,2023-04-04 05:01:00,,,"$2,827,113,184,696 "
Healthcare,Cyrus Poonawalla,India,Pune,Vaccines,Healthcare,India,,D,M,1941-05-11 00:00:00,Poonawalla,Cyrus,,2023-04-04 05:01:00,,,"$2,611,000,000,000 "
Telecom,Masayoshi Son,Japan,Tokyo,"Internet, telecom",Telecom,Japan,SoftBank Group Corp.,U,M,1957-08-11 00:00:00,Son,Masayoshi,CEO,2023-04-04 05:01:00,,,"$5,081,769,542,380 "
Metals & Mining,Vladimir Lisin,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,,U,M,1956-05-07 00:00:00,Lisin,Vladimir,,2023-04-04 05:01:00,,,"$1,699,876,578,871 "
Food & Beverage,Emmanuel Besnier,France,Laval,Cheese,Food & Beverage,France,,D,M,1970-09-18 00:00:00,Besnier,Emmanuel,,2023-04-04 05:01:00,,,"$2,715,518,274,227 "
Finance & Investments,Abigail Johnson,United States,Milton,Fidelity,Finance & Investments,United States,Fidelity Investments,U,F,1961-12-19 00:00:00,Johnson,Abigail,CEO,2023-04-04 05:01:00,Massachusetts,Northeast,"$21,427,700,000,000 "
Energy,Leonid Mikhelson & family,Russia,Moscow,"Gas, chemicals",Energy,Russia,,U,M,1955-08-11 00:00:00,Mikhelson,Leonid,,2023-04-04 05:01:00,,,"$1,699,876,578,871 "
Fashion & Retail,Lukas Walton,United States,Chicago,Walmart,Fashion & Retail,United States,,U,M,1986-09-19 00:00:00,Walton,Lukas,,2023-04-04 05:01:00,Illinois,Midwest,"$21,427,700,000,000 "
Service,Wang Wei,China,Shenzhen,Package delivery,Service,China,,D,M,1970-10-01 00:00:00,Wang,Wei,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Technology,Jensen Huang,United States,Los Altos,Semiconductors,Technology,United States,Nvidia,U,M,1963-02-17 00:00:00,Huang,Jensen,CEO & President,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Fashion & Retail,Leonard Lauder,United States,New York,Estee Lauder,Fashion & Retail,United States,The Estée Lauder Companies,D,M,1933-03-19 00:00:00,Lauder,Leonard,Chairman Emeritus,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Manufacturing,Takemitsu Takizaki,Japan,Osaka,Sensors,Manufacturing,Japan,,D,M,1945-06-10 00:00:00,Takizaki,Takemitsu,,2023-04-04 05:01:00,,,"$5,081,769,542,380 "
Metals & Mining,Alexey Mordashov & family,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,,U,M,1965-09-26 00:00:00,Mordashov,Alexey,,2023-04-04 05:01:00,,,"$1,699,876,578,871 "
Energy,Vagit Alekperov,Russia,Moscow,Oil,Energy,Russia,,U,M,1950-09-01 00:00:00,Alekperov,Vagit,,2023-04-04 05:01:00,,,"$1,699,876,578,871 "
Healthcare,"Thomas Frist, Jr. & family",United States,Nashville,Hospitals,Healthcare,United States,,D,M,1938-08-12 00:00:00,Frist,Thomas,,2023-04-04 05:01:00,Tennessee,South,"$21,427,700,000,000 "
Metals & Mining,Andrew Forrest,Australia,Perth,Mining,Metals & Mining,Australia,,U,M,1961-11-18 00:00:00,Forrest,Andrew,,2023-04-04 05:01:00,,,"$1,392,680,589,329 "
Finance & Investments,Ray Dalio,United States,Greenwich,Hedge funds,Finance & Investments,United States,Bridgewater Associates,D,M,1949-08-08 00:00:00,Dalio,Ray,Founder & Co-Chief Investment Officer,2023-04-04 05:01:00,Connecticut,Northeast,"$21,427,700,000,000 "
Automotive,Eric Li,China,Hangzhou,Automobiles,Automotive,China,,D,M,1963-06-01 00:00:00,Li,Eric,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Metals & Mining,Wang Wenyin,China,Shenzhen,"Mining, copper products",Metals & Mining,China,,U,M,1968-03-01 00:00:00,Wang,Wenyin,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Diversified,Eyal Ofer,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,,U,M,1950-06-02 00:00:00,Ofer,Eyal,,2023-04-04 05:01:00,,,"$7,184,844,193 "
Food & Beverage,Qin Yinglin,China,Nanyang,Pig breeding,Food & Beverage,China,,D,M,1965-04-17 00:00:00,Qin,Yinglin,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Automotive,Wang Chuanfu,China,Shenzhen,"Batteries, automobiles",Automotive,China,,D,M,1966-02-15 00:00:00,Wang,Chuanfu,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Energy,Harold Hamm & family,United States,Oklahoma City,Oil & gas,Energy,United States,Continental Resources Inc. ,U,M,1945-12-11 00:00:00,Hamm,Harold,Chairman and CEO,2023-04-04 05:01:00,Oklahoma,South,"$21,427,700,000,000 "
Finance & Investments,David Tepper,United States,Palm Beach,Hedge funds,Finance & Investments,United States,Appaloosa Management,U,M,1957-09-11 00:00:00,Tepper,David,President and Founder,2023-04-04 05:01:00,Florida,South,"$21,427,700,000,000 "
Energy,Gennady Timchenko,Russia,Moscow,"Oil, gas",Energy,Russia,,U,M,1952-11-09 00:00:00,Timchenko,Gennady,,2023-04-04 05:01:00,,,"$1,699,876,578,871 "
Finance & Investments,Daniel Gilbert,United States,Franklin,Quicken Loans,Finance & Investments,United States,,D,M,1962-01-17 00:00:00,Gilbert,Daniel,,2023-04-04 05:01:00,Michigan,Midwest,"$21,427,700,000,000 "
Metals & Mining,Lakshmi Mittal,United Kingdom,London,Steel,Metals & Mining,India,ArcelorMittal (ADR),D,M,1950-06-15 00:00:00,Mittal,Lakshmi,Chairman and CEO,2023-04-04 05:01:00,,,"$2,827,113,184,696 "
Finance & Investments,Steve Cohen,United States,Greenwich,Hedge funds,Finance & Investments,United States,Point72 Asset Management,U,M,1956-06-11 00:00:00,Cohen,Steve,Founder,2023-04-04 05:01:00,Connecticut,Northeast,"$21,427,700,000,000 "
Finance & Investments,Carl Icahn,United States,Indian Creek,Investments,Finance & Investments,United States,Icahn Capital Management,U,M,1936-02-16 00:00:00,Icahn,Carl,Founder,2023-04-04 05:01:00,Florida,South,"$21,427,700,000,000 "
Metals & Mining,Savitri Jindal & family,India,Hisar,Steel,Metals & Mining,India,,D,F,1950-03-20 00:00:00,Jindal,Savitri,,2023-04-04 05:01:00,,,"$2,611,000,000,000 "
Real Estate,Donald Bren,United States,Newport Beach,Real estate,Real Estate,United States,Irvine Company,U,M,1932-05-11 00:00:00,Bren,Donald,Chairman,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Fashion & Retail,"John Menard, Jr.",United States,Eau Claire,Home improvement stores,Fashion & Retail,United States,"Menard, Inc.",U,M,1940-01-22 00:00:00,Menard,John,Founder,2023-04-04 05:01:00,Wisconsin,Midwest,"$21,427,700,000,000 "
Media & Entertainment,Rupert Murdoch & family,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,News Corp Class A,D,M,1931-03-11 00:00:00,Murdoch,Rupert,Chairman and CEO,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Finance & Investments,Vicky Safra & family,Switzerland,Crans-Montana,Banking,Finance & Investments,Brazil,,U,F,1953-01-01 00:00:00,Safra,Vicky,,2023-04-04 05:01:00,,,"$703,082,435,360 "
Fashion & Retail,"Theo Albrecht, Jr. & family",Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,Germany,,D,M,1951-01-01 00:00:00,Albrecht,Theo,,2023-04-04 05:01:00,,,"$3,845,630,030,824 "
Finance & Investments,Renata Kellnerova & family,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,Czech Republic,,D,F,1967-07-04 00:00:00,Kellnerova,Renata,,2023-04-04 05:01:00,,,"$246,489,245,495 "
Healthcare,Li Xiting,China,Shenzhen,medical devices,Healthcare,Singapore,,D,M,1951-01-01 00:00:00,Li,Xiting,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Fashion & Retail,Stefan Persson,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,Hennes & Mauritz Unsponsored ADR,D,M,1947-10-04 00:00:00,Persson,Stefan,Chairman,2023-04-04 05:01:00,,,"$530,832,908,738 "
Technology,Eric Schmidt,United States,Atherton,Google,Technology,United States,,D,M,1955-04-27 00:00:00,Schmidt,Eric,,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Finance & Investments,Michael Platt,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,BlueCrest Capital Management,U,M,1968-03-18 00:00:00,Platt,Michael,Founder ,2023-04-04 05:01:00,,,"$703,082,435,360 "
Food & Beverage,Pang Kang,China,Foshan,Soy sauce,Food & Beverage,China,,D,M,1956-01-19 00:00:00,Pang,Kang,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Fashion & Retail,Karl Albrecht Jr. & family,Germany,,Supermarkets,Fashion & Retail,Germany,,Split Family Fortune,M,,Albrecht Jr.,Karl,,2023-04-04 05:01:00,,,"$3,845,630,030,824 "
Fashion & Retail,Beate Heister,,,Supermarkets,Fashion & Retail,Germany,,Split Family Fortune,F,,Heister,Beate,,2023-04-04 05:01:00,,,
Food & Beverage,Jorge Paulo Lemann & family,Switzerland,Zurich,Beer,Food & Beverage,Brazil,,U,M,1939-08-26 00:00:00,Lemann,Jorge Paulo,"Investor, Philanthropist",2023-04-04 05:01:00,,,"$703,082,435,360 "
Real Estate,Peter Woo,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,D,M,1946-09-05 00:00:00,Woo,Peter,,2023-04-04 05:01:00,,,
Healthcare,Dilip Shanghvi,India,Mumbai,Pharmaceuticals,Healthcare,India,,E,M,1955-10-01 00:00:00,Shanghvi,Dilip,,2023-04-04 05:01:00,,,"$2,611,000,000,000 "
Technology,Robert Pera,United States,San Jose,Wireless networking,Technology,United States,Ubiquiti,U,M,1978-03-10 00:00:00,Pera,Robert,Chief Executive Officer,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Fashion & Retail,Radhakishan Damani,India,Mumbai,"Retail, investments",Fashion & Retail,India,,D,M,1955-01-01 00:00:00,Damani,Radhakishan,,2023-04-04 05:01:00,,,"$2,611,000,000,000 "
Automotive,Huang Shilin,China,Ningde,Batteries,Automotive,China,,D,M,1967-01-01 00:00:00,Huang,Shilin,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Diversified,Dhanin Chearavanont,Thailand,Bangkok,Diversified,Diversified,Thailand,,U,M,1939-04-19 00:00:00,Chearavanont,Dhanin,,2023-04-04 05:01:00,,,"$543,649,976,166 "
Fashion & Retail,David Green & family,United States,Oklahoma City,Retail,Fashion & Retail,United States,Hobby Lobby,U,M,1941-11-13 00:00:00,Green,David,CEO,2023-04-04 05:01:00,Oklahoma,South,"$21,427,700,000,000 "
Food & Beverage,Charoen Sirivadhanabhakdi,Thailand,Bangkok,"Alcohol, real estate",Food & Beverage,Thailand,,U,M,1944-05-02 00:00:00,Sirivadhanabhakdi,Charoen,,2023-04-04 05:01:00,,,"$543,649,976,166 "
Food & Beverage,Charlene de Carvalho-Heineken & family,United Kingdom,London,Heineken,Food & Beverage,Netherlands,,D,F,1954-06-30 00:00:00,de Carvalho-Heineken,Charlene,,2023-04-04 05:01:00,,,"$2,827,113,184,696 "
Healthcare,Xu Hang,China,Shenzhen,Medical devices,Healthcare,Hong Kong,,D,M,1962-05-22 00:00:00,Xu,Hang,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Automotive,Wei Jianjun & family,China,Baoding,Automobiles,Automotive,China,,D,M,1964-03-01 00:00:00,Wei,Jianjun,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Metals & Mining,Alisher Usmanov,Uzbekistan,Tashkent,"Steel, telecom, investments",Metals & Mining,Russia,Metalloinvest,U,M,1953-09-09 00:00:00,Usmanov,Alisher,Founder,2023-04-04 05:01:00,,,"$57,921,286,440 "
Manufacturing,Goh Cheng Liang,Singapore,Singapore,Paints,Manufacturing,Singapore,,U,M,1927-06-27 00:00:00,Goh,Cheng Liang,,2023-04-04 05:01:00,,,"$372,062,527,489 "
Diversified,Kumar Birla,India,Mumbai,Commodities,Diversified,India,,D,M,1967-06-14 00:00:00,Birla,Kumar,,2023-04-04 05:01:00,,,"$2,611,000,000,000 "
Manufacturing,Aliko Dangote,Nigeria,Lagos,"Cement, sugar",Manufacturing,Nigeria,Dangote Group,U,M,1957-04-10 00:00:00,Dangote,Aliko,CEO,2023-04-04 05:01:00,,,"$448,120,428,859 "
Real Estate,Kwong Siu-hing,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,U,F,1929-12-02 00:00:00,Kwong,Siu-hing,,2023-04-04 05:01:00,,,
Diversified,Idan Ofer,United Kingdom,London,Shipping,Diversified,Israel,,U,M,1955-10-02 00:00:00,Ofer,Idan,,2023-04-04 05:01:00,,,"$2,827,113,184,696 "
Healthcare,Chen Bang,China,Changsha,Hospitals,Healthcare,China,,U,M,1965-09-01 00:00:00,Chen,Bang,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Gambling & Casinos,Lui Che Woo,Hong Kong,Hong Kong,Casinos/hotels,Gambling & Casinos,Hong Kong,,U,M,1929-04-01 00:00:00,Lui,Che Woo,,2023-04-04 05:01:00,,,
